קוד מקווה מים,שם תחנה,נחל/קבוצה,תאריך,מעבדה,Collector,pH,Temp (°C),Doxsat (%),Do (mg/l),Ec (Mmho/cm),Secchi (Cm),Nju (Jackson),צבע שדה,Q (m³/h),Dept (m),Turb (NTU),Hardness (mg/l),Ntot (mg/l),BODt (mg/l),BODs (mg/l),CODt (mg/l),CODs (mg/l),NH4 (mg/l),NO3 (mg/l),NO2 (mg/l),PO4 (mg/l),SO4 (mg/l),ABS (mg/l),Psos (mg/l),Ptot (mg/l),TKN (mg/l),TSS105 (mg/l),TSS550 (mg/l),TS (mg/l),TDS (mg/l),CO3 (mg/l),H2S (mg/l),HCO3 (mg/l),Rem_Cl (mg/l),Toc (mg/l),Minoil (mg/l),TPH (mg/l),Fcoli (cfu/100 ml),Ecoli (cfu/100 ml),TOTB (cfu/ml),Fstrp (cfu/100 ml),Coli (cfu/100 ml),Fentr (cfu/100 ml),Pseud (cfu/100 ml),Cl (mg/l),F (mg/l),Ca (mg/l),Mg (mg/l),Na (mg/l),K (mg/l),Br (mg/l),B (mg/l),Al (mg/l),Cd (mg/l),Cu (mg/l),Fe (mg/l),Ni (mg/l),Zn (mg/l),S (mg/l),Ti (mg/l),Si (mg/l),Pb (mg/l),Ag (mg/l),Cr (mg/l),Mn (mg/l),Co (mg/l),Li (mg/l),Ba (mg/l),Sr (mg/l),Mo (mg/l),As (mg/l),Sn (mg/l),Hg (mg/l),V (mg/l),Se (mg/l),Be (mg/l),Sb (mg/l),Xylene (µ/l),Toluen (µ/l),Benzen (µ/l),Note
665,גשר יוסף,ירדן עליון,3/5/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,2.95,1.2,,35,,0.05,1.59,0.041,,,,,0.11,1.32,10.5,,,,,,,,3.37,,,850,,,,,,,16.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,גשר יוסף,ירדן עליון,14/10/2020,בקטוכם,דותן חרוש,,,,,,,,,,,,,3.25,0.6,,35,,0.05,1.6,0.003,,,,,0.1,1.65,7.5,,,,,,,,2.16,,,1500,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,גשר יוסף,ירדן עליון,20/10/2021,בקטוכם,הגר סבטי,,,,,,,,,,,,,3.84,1.7,,35,,0.1,1.99,0.107,,,,,0.1,1.74,1,,,,,,,,2.29,,,620,,,300,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,גשר יוסף,ירדן עליון,15/5/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,4.3,0.9,,35,,0.1,1.61,0.002,,,,,0.1,2.69,2.5,,,,,,,,1.27,,,930,,,250,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,גשר יוסף,ירדן עליון,2/11/2022,בקטוכם,הגר סבטי,,,,,,,,,,,,,3.84,0.5,,35,,0.1,1.59,0.034,,,,,0.12,2.22,1,,,,,,,,3.5,,,350,,,150,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ספיקה חלשה - בינונית, מים צלולים."
665,גשר יוסף,ירדן עליון,10/5/2023,בקטוכם,אורית כץ,,,,,,,,,,,,,3.68,0.5,,35,,0.78,1.38,0.014,,,,,0.1,2.29,2.5,,,,,,,,0.5,,,380,,,90,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,גשר יוסף,ירדן עליון,17/4/2024,בקטוכם,אורית כץ,,,,,,,,,,,,,2.86,0.9,,35,,0.1,1.69,0.009,,,,,0.1,1.16,1,,,240,,,,,0.99,,,190,,,80,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,גשר אריק,ירדן עליון,5/12/2017,בקטוכם,הלל גלזמן,,,,,,,,,,,,,3.17,0.5,,48,,0.05,1.3,0.011,,,,,0.17,1.86,51,,,,,,,,1.64,,,560,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,גשר אריק,ירדן עליון,5/6/2018,בקטוכם,הלל גלזמן,,,,,,,,,,,,,2.59,2.2,,35,,0.2,1.64,0.007,,,,,0.14,0.94,6,,,,,,,,2.2,,,280,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,גשר אריק,ירדן עליון,24/10/2018,בקטוכם,דותן חרוש,,,,,,,,,,,,,3.05,0.5,,36,,0.5,1.74,0.029,,,,,0.1,1.28,14,,,,,,,,2.36,,,3500,,,,,,,19.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
